,index,height $\mu m$,linear regression,Yi,absolute height,square height
0,0,-5.76,-7.549273914817036,1.789273914817036,1.789273914817036,3.2015011422446817
1,1,-5.76,-7.549857393946935,1.789857393946935,1.789857393946935,3.203589490666514
2,2,-5.76,-7.550440873076834,1.7904408730768342,1.7904408730768342,3.2056785199841364
3,3,-6.08,-7.551024352206733,1.471024352206733,1.471024352206733,2.1639126447852384
4,4,-6.08,-7.551607831336632,1.471607831336632,1.471607831336632,2.1656296092513054
5,5,-5.76,-7.552191310466531,1.7921913104665315,1.7921913104665315,3.2119496933117433
6,6,-6.08,-7.552774789596431,1.4727747895964312,1.4727747895964312,2.169065580870812
7,7,-6.08,-7.55335826872633,1.4733582687263302,1.4733582687263302,2.170784588024249
8,8,-6.08,-7.553941747856229,1.4739417478562293,1.4739417478562293,2.1725042760734765
9,9,-5.76,-7.5545252269861285,1.7945252269861287,1.7945252269861287,3.220320790289617
10,10,-6.08,-7.555108706116028,1.4751087061160275,1.4751087061160275,2.175945694859301
11,11,-5.76,-7.555692185245927,1.7956921852459269,1.7956921852459269,3.224510424153292
12,12,-5.76,-7.556275664375826,1.796275664375826,1.796275664375826,3.226606262428815
13,13,-5.76,-7.556859143505725,1.796859143505725,1.796859143505725,3.228702781600128
14,14,-5.76,-7.557442622635624,1.7974426226356242,1.7974426226356242,3.230799981667231
15,15,-5.76,-7.558026101765523,1.7980261017655232,1.7980261017655232,3.2328978626301237
16,16,-5.76,-7.558609580895422,1.7986095808954223,1.7986095808954223,3.234996424488807
17,17,-5.76,-7.559193060025321,1.7991930600253214,1.7991930600253214,3.23709566724328
18,18,-5.76,-7.559776539155221,1.7997765391552214,1.7997765391552214,3.239195590893546
19,19,-5.76,-7.56036001828512,1.8003600182851205,1.8003600182851205,3.2412961954395993
20,20,-5.76,-7.560943497415019,1.8009434974150196,1.8009434974150196,3.2433974808814425
21,21,-5.76,-7.5615269765449185,1.8015269765449187,1.8015269765449187,3.245499447219076
22,22,-5.76,-7.5621104556748175,1.8021104556748178,1.8021104556748178,3.2476020944524993
23,23,-5.76,-7.562693934804717,1.8026939348047168,1.8026939348047168,3.249705422581713
24,24,-5.76,-7.563277413934616,1.803277413934616,1.803277413934616,3.2518094316067163
25,25,-5.76,-7.563860893064515,1.803860893064515,1.803860893064515,3.25391412152751
26,26,-5.76,-7.564444372194414,1.8044443721944141,1.8044443721944141,3.2560194923440933
27,27,-5.76,-7.565027851324313,1.8050278513243132,1.8050278513243132,3.258125544056467
28,28,-5.76,-7.565611330454212,1.8056113304542123,1.8056113304542123,3.2602322766646306
29,29,-5.76,-7.566194809584111,1.8061948095841114,1.8061948095841114,3.2623396901685844
30,30,-5.76,-7.566778288714011,1.8067782887140114,1.8067782887140114,3.2644477845683313
31,31,-5.76,-7.56736176784391,1.8073617678439104,1.8073617678439104,3.266556559863865
32,32,-4.8,-7.567945246973809,2.7679452469738095,2.7679452469738095,7.661520890244903
33,33,-4.8,-7.568528726103708,2.7685287261037086,2.7685287261037086,7.664751307261423
34,34,-4.8,-7.5691122052336075,2.7691122052336077,2.7691122052336077,7.667982405173734
35,35,-4.8,-7.569695684363507,2.7696956843635068,2.7696956843635068,7.671214183981834
36,36,-4.8,-7.570279163493406,2.770279163493406,2.770279163493406,7.674446643685725
37,37,-4.8,-7.570862642623305,2.770862642623305,2.770862642623305,7.677679784285405
38,38,-4.8,-7.571446121753204,2.771446121753204,2.771446121753204,7.680913605780876
39,39,-4.8,-7.572029600883103,2.772029600883103,2.772029600883103,7.684148108172136
40,40,-4.48,-7.572613080013002,3.0926130800130016,3.0926130800130016,9.564255662667504
41,41,-4.48,-7.573196559142902,3.0931965591429016,3.0931965591429016,9.567864953493485
42,42,-4.48,-7.573780038272801,3.0937800382728007,3.0937800382728007,9.571474925215252
43,43,-4.48,-7.5743635174027,3.0943635174026998,3.0943635174026998,9.575085577832809
44,44,-4.48,-7.574946996532599,3.094946996532599,3.094946996532599,9.578696911346155
45,45,-4.16,-7.575530475662498,3.4155304756624982,3.4155304756624982,11.665848430179292
46,46,-4.16,-7.5761139547923975,3.4161139547923973,3.4161139547923973,11.669834552127353
47,47,-4.16,-7.5766974339222966,3.4166974339222964,3.4166974339222964,11.673821354971205
48,48,-4.16,-7.577280913052196,3.4172809130521955,3.4172809130521955,11.677808838710847
49,49,-4.16,-7.577864392182095,3.4178643921820946,3.4178643921820946,11.68179700334628
50,50,-4.16,-7.578447871311994,3.4184478713119937,3.4184478713119937,11.6857858488775
51,51,-3.52,-7.579031350441893,4.059031350441893,4.059031350441893,16.47573550387014
52,52,-3.52,-7.579614829571792,4.059614829571792,4.059614829571792,16.480472564479214
53,53,-3.52,-7.580198308701692,4.0601983087016915,4.0601983087016915,16.485210305984076
54,54,-3.52,-7.580781787831591,4.060781787831591,4.060781787831591,16.48994872838473
55,55,-3.2,-7.58136526696149,4.38136526696149,4.38136526696149,19.196361602536527
56,56,-3.2,-7.581948746091389,4.381948746091389,4.381948746091389,19.201474813371895
57,57,-3.2,-7.582532225221288,4.382532225221288,4.382532225221288,19.206588705103055
58,58,-3.2,-7.583115704351187,4.383115704351187,4.383115704351187,19.211703277730003
59,59,-3.2,-7.5836991834810865,4.383699183481086,4.383699183481086,19.21681853125274
60,60,-3.2,-7.584282662610986,4.384282662610985,4.384282662610985,19.22193446567127
61,61,-3.2,-7.584866141740885,4.3848661417408845,4.3848661417408845,19.22705108098559
62,62,-2.88,-7.585449620870784,4.705449620870784,4.705449620870784,22.141256134553004
63,63,-2.88,-7.586033100000683,4.706033100000683,4.706033100000683,22.146747538302037
64,64,-2.88,-7.586616579130582,4.706616579130582,4.706616579130582,22.152239622946862
65,65,-2.88,-7.587200058260482,4.707200058260482,4.707200058260482,22.157732388487485
66,66,-2.88,-7.587783537390381,4.707783537390381,4.707783537390381,22.16322583492389
67,67,-2.88,-7.58836701652028,4.70836701652028,4.70836701652028,22.168719962256084
68,68,-2.88,-7.588950495650179,4.708950495650179,4.708950495650179,22.17421477048407
69,69,-2.88,-7.589533974780078,4.709533974780078,4.709533974780078,22.179710259607845
70,70,-2.24,-7.590117453909977,5.350117453909977,5.350117453909977,28.623756770632177
71,71,-2.24,-7.5907009330398765,5.350700933039876,5.350700933039876,28.630000474833803
72,72,-2.24,-7.591284412169776,5.351284412169775,5.351284412169775,28.636244859931217
73,73,-2.24,-7.591867891299675,5.351867891299674,5.351867891299674,28.642489925924423
74,74,-2.24,-7.592451370429574,5.3524513704295735,5.3524513704295735,28.64873567281342
75,75,-2.24,-7.593034849559473,5.353034849559473,5.353034849559473,28.654982100598204
76,76,-2.24,-7.593618328689372,5.353618328689372,5.353618328689372,28.661229209278783
77,77,-2.24,-7.594201807819272,5.354201807819272,5.354201807819272,28.667476998855157
78,78,-2.24,-7.594785286949171,5.354785286949171,5.354785286949171,28.673725469327312
79,79,-2.24,-7.59536876607907,5.35536876607907,5.35536876607907,28.67997462069526
80,80,-2.24,-7.595952245208969,5.355952245208969,5.355952245208969,28.686224452958996
81,81,-2.24,-7.596535724338868,5.356535724338868,5.356535724338868,28.69247496611852
82,82,-2.24,-7.597119203468767,5.357119203468767,5.357119203468767,28.698726160173837
83,83,-2.24,-7.597702682598666,5.357702682598666,5.357702682598666,28.704978035124945
84,84,-2.24,-7.5982861617285655,5.358286161728565,5.358286161728565,28.71123059097184
85,85,-2.24,-7.598869640858465,5.358869640858464,5.358869640858464,28.717483827714528
86,86,-2.24,-7.599453119988364,5.3594531199883635,5.3594531199883635,28.723737745353002
87,87,-2.24,-7.600036599118263,5.360036599118263,5.360036599118263,28.72999234388727
88,88,-2.24,-7.600620078248163,5.360620078248163,5.360620078248163,28.736247623317336
89,89,-2.24,-7.601203557378062,5.361203557378062,5.361203557378062,28.742503583643185
90,90,-2.24,-7.601787036507961,5.361787036507961,5.361787036507961,28.74876022486482
91,91,-2.24,-7.60237051563786,5.36237051563786,5.36237051563786,28.75501754698225
92,92,-2.24,-7.602953994767759,5.362953994767759,5.362953994767759,28.761275549995464
93,93,-2.24,-7.603537473897658,5.363537473897658,5.363537473897658,28.76753423390447
94,94,-2.24,-7.604120953027557,5.364120953027557,5.364120953027557,28.77379359870927
95,95,-2.24,-7.604704432157456,5.364704432157456,5.364704432157456,28.780053644409854
96,96,-2.24,-7.6052879112873555,5.365287911287355,5.365287911287355,28.78631437100623
97,97,-2.24,-7.605871390417255,5.365871390417254,5.365871390417254,28.7925757784984
98,98,-2.24,-7.606454869547154,5.3664548695471535,5.3664548695471535,28.798837866886355
99,99,-2.24,-7.607038348677053,5.3670383486770525,5.3670383486770525,28.805100636170103
100,100,-2.24,-7.607621827806953,5.3676218278069525,5.3676218278069525,28.81136408634965
101,101,-2.24,-7.608205306936852,5.368205306936852,5.368205306936852,28.81762821742498
102,102,-2.24,-7.608788786066751,5.368788786066751,5.368788786066751,28.823893029396096
103,103,-2.24,-7.60937226519665,5.36937226519665,5.36937226519665,28.830158522263
104,104,-2.24,-7.609955744326549,5.369955744326549,5.369955744326549,28.8364246960257
105,105,-2.24,-7.610539223456448,5.370539223456448,5.370539223456448,28.842691550684187
106,106,-2.88,-7.611122702586347,4.731122702586347,4.731122702586347,22.383522026927942
107,107,-2.88,-7.611706181716246,4.7317061817162465,4.7317061817162465,22.38904339009174
108,108,-2.88,-7.6122896608461454,4.7322896608461456,4.7322896608461456,22.39456543415133
109,109,-2.88,-7.6128731399760445,4.732873139976045,4.732873139976045,22.400088159106705
110,110,-2.88,-7.613456619105944,4.733456619105944,4.733456619105944,22.405611564957873
111,111,-2.88,-7.614040098235843,4.734040098235843,4.734040098235843,22.41113565170483
112,112,-3.2,-7.614623577365743,4.4146235773657425,4.4146235773657425,19.488901329833507
113,113,-3.2,-7.615207056495642,4.415207056495642,4.415207056495642,19.49405335172891
114,114,-3.2,-7.615790535625541,4.415790535625541,4.415790535625541,19.499206054520098
115,115,-3.2,-7.61637401475544,4.41637401475544,4.41637401475544,19.504359438207082
116,116,-3.2,-7.616957493885339,4.416957493885339,4.416957493885339,19.509513502789854
117,117,-3.2,-7.617540973015238,4.417540973015238,4.417540973015238,19.514668248268414
118,118,-3.2,-7.618124452145137,4.418124452145137,4.418124452145137,19.51982367464277
119,119,-3.52,-7.618707931275036,4.098707931275037,4.098707931275037,16.799406705896892
120,120,-3.52,-7.619291410404935,4.099291410404936,4.099291410404936,16.80419006741969
121,121,-3.52,-7.6198748895348345,4.099874889534835,4.099874889534835,16.808974109838275
122,122,-3.52,-7.620458368664734,4.100458368664734,4.100458368664734,16.81375883315265
123,123,-3.52,-7.621041847794633,4.101041847794633,4.101041847794633,16.81854423736282
124,124,-4.16,-7.621625326924533,3.4616253269245325,3.4616253269245325,11.982849904005377
125,125,-4.16,-7.622208806054432,3.4622088060544316,3.4622088060544316,11.986889816720852
126,126,-4.16,-7.622792285184331,3.4627922851843307,3.4627922851843307,11.990930410332119
127,127,-4.16,-7.62337576431423,3.4633757643142298,3.4633757643142298,11.994971684839175
128,128,-4.16,-7.623959243444129,3.463959243444129,3.463959243444129,11.99901364024202
129,129,-4.48,-7.624542722574028,3.1445427225740277,3.1445427225740277,9.888148934093278
130,130,-4.48,-7.625126201703927,3.1451262017039268,3.1451262017039268,9.89181882464457
131,131,-4.48,-7.625709680833826,3.145709680833826,3.145709680833826,9.89548939609165
132,132,-4.48,-7.626293159963725,3.146293159963725,3.146293159963725,9.899160648434522
133,133,-4.8,-7.6268766390936245,2.8268766390936246,2.8268766390936246,7.991231532653267
134,134,-4.8,-7.6274601182235235,2.8274601182235237,2.8274601182235237,7.994530720144582
135,135,-4.8,-7.6280435973534235,2.8280435973534237,2.8280435973534237,7.997830588531694
136,136,-4.8,-7.628627076483323,2.828627076483323,2.828627076483323,8.001131137814589
137,137,-4.8,-7.629210555613222,2.829210555613222,2.829210555613222,8.004432367993276
138,138,-5.76,-7.629794034743121,1.869794034743121,1.869794034743121,3.4961297323609597
139,139,-5.76,-7.63037751387302,1.87037751387302,1.87037751387302,3.4983120444018194
140,140,-5.76,-7.630960993002919,1.8709609930029192,1.8709609930029192,3.5004950373384696
141,141,-5.76,-7.631544472132818,1.8715444721328183,1.8715444721328183,3.5026787111709092
142,142,-6.08,-7.632127951262717,1.552127951262717,1.552127951262717,2.4091011770909994
143,143,-6.08,-7.632711430392616,1.5527114303926162,1.5527114303926162,2.410912786071884
144,144,-6.08,-7.633294909522515,1.5532949095225153,1.5532949095225153,2.412725075948559
145,145,-6.08,-7.633878388652414,1.5538783886524143,1.5538783886524143,2.414538046721024
146,146,-6.08,-7.6344618677823135,1.5544618677823134,1.5544618677823134,2.4163516983892785
147,147,-6.08,-7.6350453469122135,1.5550453469122134,1.5550453469122134,2.418166030953326
148,148,-6.4,-7.635628826042113,1.2356288260421122,1.2356288260421122,1.5267785957462083
149,149,-6.4,-7.636212305172012,1.2362123051720113,1.2362123051720113,1.528220863458698
